% Mode = SPO2
% Sample Rate (Hz) = 100 Sample Average = 1 Pulse Width (us) = 411 ADC Full Scale Range (nA) = 8192
%  LED Red (mA) = 10.15625 LED IR (mA) = 10.15625 LED Green (mA) = 10.15625
% LED Slot 1 = 1 LED Slot 2 = 2 LED Slot 3 = 3 LED Slot 4 = 0
Time (s), Red, IR (Infrared), Green
0,57388,57366,
0.01,73691,73674,
0.02,86249,90110,
0.03,85854,95558,
0.04,85865,95588,
0.05,85877,95635,
0.06,85886,95665,
0.07,85894,95702,
0.08,85914,95729,
0.09,85934,95766,
0.1,85937,95794,
0.11,85946,95812,
0.12,85951,95827,
0.13,85971,95850,
0.14,85961,95844,
0.15,85961,95843,
0.16,85953,95849,
0.17,85953,95842,
0.18,85972,95876,
0.19,85987,95912,
0.2,85993,95941,
0.21,86021,95994,
0.22,86033,96037,
0.23,86054,96080,
0.24,86067,96111,
0.25,86084,96157,
0.26,86086,96185,
0.27,86107,96204,
0.28,86126,96240,
0.29,86131,96268,
0.3,86142,96301,
0.31,86154,96320,
0.32,86161,96336,
0.33,86181,96376,
0.34,86192,96408,
0.35,86217,96446,
0.36,86228,96485,
0.37,86248,96521,
0.38,86255,96548,
0.39,86268,96575,
0.4,86268,96575,
0.41,86274,96591,
0.42,86281,96611,
0.43,86285,96627,
0.44,86294,96652,
0.45,86310,96677,
0.46,86321,96694,
0.47,86322,96734,
0.48,86345,96762,
0.49,86366,96783,
0.5,86367,96814,
0.51,86379,96831,
0.52,86395,96862,
0.53,86401,96895,
0.54,86414,96933,
0.55,86437,96965,
0.56,86443,96996,
0.57,86448,97002,
0.58,86463,96984,
0.59,86432,96915,
0.6,86404,96827,
0.61,86350,96700,
0.62,86291,96565,
0.63,86229,96386,
0.64,86160,96221,
0.65,86098,96050,
0.66,86032,95905,
0.67,85988,95797,
0.68,85950,95709,
0.69,85942,95661,
0.7,85918,95618,
0.71,85908,95593,
0.72,85900,95593,
0.73,85894,95570,
0.74,85885,95579,
0.75,85891,95565,
0.76,85893,95564,
0.77,85893,95559,
0.78,85885,95559,
0.79,85888,95551,
0.8,85885,95557,
0.81,85889,95557,
0.82,85888,95564,
0.83,85890,95579,
0.84,85898,95594,
0.85,85905,95615,
0.86,85921,95649,
0.87,85940,95687,
0.88,85952,95721,
0.89,85972,95738,
0.9,85977,95747,
0.91,85986,95783,
0.92,85987,95796,
0.93,85999,95803,
0.94,86005,95823,
0.95,86018,95838,
0.96,86013,95837,
0.97,86023,95862,
0.98,86041,95875,
0.99,86053,95934,
1,86078,95971,
1.01,86096,96020,
1.02,86124,96062,
1.03,86134,96110,
1.04,86158,96154,
1.05,86176,96204,
1.06,86203,96259,
1.07,86219,96287,
1.08,86237,96348,
1.09,86261,96389,
1.1,86259,96412,
1.11,86286,96458,
1.12,86296,96481,
1.13,86312,96505,
1.14,86315,96544,
1.15,86327,96568,
1.16,86334,96587,
1.17,86342,96600,
1.18,86347,96633,
1.19,86372,96666,
1.2,86389,96702,
1.21,86402,96750,
1.22,86420,96781,
1.23,86444,96827,
1.24,86455,96859,
1.25,86459,96890,
1.26,86469,96904,
1.27,86485,96942,
1.28,86500,96967,
1.29,86506,96987,
1.3,86512,97016,
1.31,86528,97046,
1.32,86551,97086,
1.33,86556,97126,
1.34,86578,97156,
1.35,86599,97205,
1.36,86612,97240,
1.37,86627,97287,
1.38,86640,97313,
1.39,86653,97339,
1.4,86653,97343,
1.41,86641,97287,
1.42,86604,97191,
1.43,86562,97074,
1.44,86515,96933,
1.45,86455,96792,
1.46,86397,96627,
1.47,86327,96456,
1.48,86263,96282,
1.49,86196,96126,
1.5,86130,95979,
1.51,86091,95881,
1.52,86059,95826,
1.53,86053,95782,
1.54,86048,95770,
1.55,86051,95768,
1.56,86052,95787,
1.57,86076,95800,
1.58,86074,95823,
1.59,86080,95830,
1.6,86100,95847,
1.61,86101,95872,
1.62,86104,95870,
1.63,86096,95889,
1.64,86121,95915,
1.65,86132,95949,
1.66,86137,95977,
1.67,86151,95999,
1.68,86170,96037,
1.69,86180,96076,
1.7,86207,96101,
1.71,86224,96138,
1.72,86227,96148,
1.73,86233,96173,
1.74,86235,96179,
1.75,86231,96183,
1.76,86240,96196,
1.77,86241,96214,
1.78,86254,96223,
1.79,86271,96239,
1.8,86266,96269,
1.81,86285,96286,
1.82,86298,96322,
1.83,86305,96350,
1.84,86326,96403,
1.85,86350,96440,
1.86,86372,96489,
1.87,86402,96548,
1.88,86412,96594,
1.89,86425,96637,
1.9,86448,96679,
1.91,86453,96703,
1.92,86474,96742,
1.93,86486,96779,
1.94,86497,96798,
1.95,86510,96835,
1.96,86515,96856,
1.97,86530,96884,
1.98,86540,96903,
1.99,86556,96952,
2,86569,96984,
2.01,86589,97025,
2.02,86614,97059,
2.03,86634,97091,
2.04,86638,97130,
2.05,86661,97157,
2.06,86666,97187,
2.07,86682,97216,
2.08,86692,97248,
2.09,86701,97286,
2.1,86737,97307,
2.11,86728,97339,
2.12,86754,97364,
2.13,86749,97412,
2.14,86764,97439,
2.15,86784,97459,
2.16,86790,97500,
2.17,86802,97520,
2.18,86806,97549,
2.19,86828,97586,
2.2,86846,97630,
2.21,86853,97670,
2.22,86884,97710,
2.23,86895,97742,
2.24,86903,97769,
2.25,86898,97766,
2.26,86888,97712,
2.27,86855,97632,
2.28,86822,97531,
2.29,86771,97405,
2.3,86731,97272,
2.31,86668,97127,
2.32,86621,96991,
2.33,86564,96849,
2.34,86514,96720,
2.35,86456,96608,
2.36,86430,96499,
2.37,86396,96439,
2.38,86377,96389,
2.39,86361,96350,
2.4,86357,96336,
2.41,86351,96329,
2.42,86345,96334,
2.43,86363,96353,
2.44,86371,96376,
2.45,86377,96398,
2.46,86384,96420,
2.47,86396,96427,
2.48,86389,96443,
2.49,86402,96461,
2.5,86415,96496,
2.51,86413,96506,
2.52,86420,96517,
2.53,86426,96549,
2.54,86442,96575,
2.55,86457,96595,
2.56,86472,96611,
2.57,86471,96627,
2.58,86480,96628,
2.59,86480,96639,
2.6,86475,96639,
2.61,86482,96638,
2.62,86467,96648,
2.63,86495,96657,
2.64,86498,96685,
2.65,86507,96716,
2.66,86518,96753,
2.67,86543,96771,
2.68,86549,96803,
2.69,86563,96838,
2.7,86582,96880,
2.71,86600,96923,
2.72,86618,96954,
2.73,86632,96988,
2.74,86637,97026,
2.75,86651,97063,
2.76,86666,97084,
2.77,86670,97106,
2.78,86684,97121,
2.79,86683,97144,
2.8,86689,97158,
2.81,86700,97183,
2.82,86707,97218,
2.83,86714,97240,
2.84,86734,97285,
2.85,86751,97312,
2.86,86770,97347,
2.87,86781,97374,
2.88,86785,97402,
2.89,86784,97424,
2.9,86805,97441,
2.91,86799,97452,
2.92,86802,97473,
2.93,86818,97484,
2.94,86832,97522,
2.95,86835,97552,
2.96,86859,97580,
2.97,86871,97626,
2.98,86900,97669,
2.99,86892,97684,
3,86908,97712,
3.01,86919,97748,
3.02,86933,97781,
3.03,86938,97804,
3.04,86958,97841,
3.05,86969,97866,
3.06,86992,97891,
3.07,86988,97906,
3.08,86983,97888,
3.09,86963,97826,
3.1,86935,97726,
3.11,86899,97627,
3.12,86852,97517,
3.13,86801,97387,
3.14,86773,97278,
3.15,86727,97163,
3.16,86679,97037,
3.17,86623,96935,
3.18,86589,96828,
3.19,86571,96754,
3.2,86518,96698,
3.21,86522,96647,
3.22,86514,96621,
3.23,86509,96615,
3.24,86498,96607,
3.25,86491,96596,
3.26,86494,96593,
3.27,86494,96601,
3.28,86497,96605,
3.29,86511,96609,
3.3,86511,96633,
3.31,86518,96652,
3.32,86527,96683,
3.33,86524,96687,
3.34,86535,96704,
3.35,86546,96729,
3.36,86555,96751,
3.37,86561,96759,
3.38,86568,96778,
3.39,86570,96775,
3.4,86560,96781,
3.41,86569,96776,
3.42,86577,96766,
3.43,86567,96781,
3.44,86566,96774,
3.45,86565,96784,
3.46,86578,96792,
3.47,86586,96818,
3.48,86590,96840,
3.49,86604,96863,
3.5,86605,96886,
3.51,86624,96910,
3.52,86629,96936,
3.53,86636,96971,
3.54,86653,97009,
3.55,86669,97024,
3.56,86680,97059,
3.57,86685,97109,
3.58,86710,97141,
3.59,86719,97180,
3.6,86727,97218,
3.61,86752,97238,
3.62,86759,97268,
3.63,86774,97308,
3.64,86784,97331,
3.65,86798,97361,
3.66,86800,97376,
3.67,86803,97390,
3.68,86803,97408,
3.69,86825,97438,
3.7,86834,97463,
3.71,86855,97499,
3.72,86870,97531,
3.73,86880,97549,
3.74,86880,97586,
3.75,86892,97597,
3.76,86903,97634,
3.77,86911,97644,
3.78,86923,97672,
3.79,86932,97707,
3.8,86939,97737,
3.81,86946,97758,
3.82,86962,97785,
3.83,86977,97807,
3.84,86980,97846,
3.85,86998,97888,
3.86,87012,97912,
3.87,87019,97927,
3.88,87015,97941,
3.89,87014,97901,
3.9,86993,97823,
3.91,86953,97723,
3.92,86898,97586,
3.93,86857,97468,
3.94,86808,97338,
3.95,86764,97211,
3.96,86708,97069,
3.97,86662,96938,
3.98,86606,96826,
3.99,86572,96718,
4,86523,96633,
4.01,86520,96566,
4.02,86486,96534,
4.03,86488,96514,
4.04,86485,96500,
4.05,86479,96492,
4.06,86483,96497,
4.07,86476,96497,
4.08,86468,96488,
4.09,86469,96483,
4.1,86470,96491,
4.11,86468,96496,
4.12,86480,96505,
4.13,86476,96522,
4.14,86499,96554,
4.15,86501,96580,
4.16,86510,96591,
4.17,86527,96611,
4.18,86522,96643,
4.19,86535,96665,
4.2,86537,96687,
4.21,86549,96703,
4.22,86559,96686,
4.23,86554,96701,
4.24,86551,96716,
4.25,86567,96740,
4.26,86561,96734,
4.27,86572,96754,
4.28,86583,96776,
4.29,86597,96799,
4.3,86599,96827,
4.31,86607,96853,
4.32,86611,96856,
4.33,86624,96910,
4.34,86639,96942,
4.35,86657,96977,
4.36,86675,97023,
4.37,86690,97056,
4.38,86698,97077,
4.39,86708,97103,
4.4,86723,97120,
4.41,86737,97158,
4.42,86735,97190,
4.43,86757,97219,
4.44,86772,97249,
4.45,86779,97271,
4.46,86783,97287,
4.47,86800,97323,
4.48,86810,97359,
4.49,86831,97388,
4.5,86839,97411,
4.51,86851,97438,
4.52,86856,97468,
4.53,86875,97506,
4.54,86873,97525,
4.55,86893,97547,
4.56,86893,97562,
4.57,86914,97588,
4.58,86917,97603,
4.59,86922,97627,
4.6,86927,97653,
4.61,86941,97681,
4.62,86952,97708,
4.63,86965,97717,
4.64,86973,97754,
4.65,86984,97790,
4.66,86994,97810,
4.67,87002,97841,
4.68,87022,97877,
4.69,87026,97894,
4.7,87035,97926,
4.71,87033,97939,
4.72,87027,97891,
4.73,87005,97824,
4.74,86974,97731,
4.75,86924,97622,
4.76,86879,97488,
4.77,86825,97345,
4.78,86781,97210,
4.79,86714,97070,
4.8,86676,96932,
4.81,86624,96812,
4.82,86580,96704,
4.83,86540,96612,
4.84,86519,96554,
4.85,86489,96492,
4.86,86486,96477,
4.87,86474,96453,
4.88,86480,96442,
4.89,86474,96450,
4.9,86468,96450,
4.91,86468,96436,
4.92,86465,96425,
4.93,86464,96410,
4.94,86453,96397,
4.95,86458,96408,
4.96,86463,96424,
4.97,86463,96453,
4.98,86480,96488,
4.99,86499,96520,
5,86502,96550,
5.01,86523,96571,
5.02,86512,96579,
5.03,86526,96594,
5.04,86523,96603,
5.05,86522,96600,
5.06,86520,96594,
5.07,86520,96595,
5.08,86509,96574,
5.09,86510,96563,
5.1,86505,96562,
5.11,86515,96592,
5.12,86526,96613,
5.13,86526,96631,
5.14,86545,96662,
5.15,86557,96697,
5.16,86577,96733,
5.17,86579,96760,
5.18,86596,96800,
5.19,86615,96826,
5.2,86627,96849,
5.21,86622,96883,
5.22,86634,96913,
5.23,86646,96928,
5.24,86658,96953,
5.25,86671,96971,
5.26,86677,97008,
5.27,86686,97041,
5.28,86703,97067,
5.29,86717,97102,
5.3,86732,97132,
5.31,86740,97161,
5.32,86756,97192,
5.33,86774,97220,
5.34,86771,97244,
5.35,86777,97275,
5.36,86788,97293,
5.37,86794,97314,
5.38,86807,97343,
5.39,86819,97361,
5.4,86830,97388,
5.41,86835,97427,
5.42,86855,97446,
5.43,86858,97478,
5.44,86872,97504,
5.45,86888,97529,
5.46,86891,97557,
5.47,86904,97582,
5.48,86919,97618,
5.49,86936,97639,
5.5,86941,97660,
5.51,86935,97687,
5.52,86969,97725,
5.53,86978,97752,
5.54,86998,97802,
5.55,87018,97821,
5.56,87010,97829,
5.57,86995,97786,
5.58,86957,97709,
5.59,86936,97598,
5.6,86897,97493,
5.61,86859,97373,
5.62,86806,97243,
5.63,86758,97120,
5.64,86713,96976,
5.65,86657,96841,
5.66,86597,96715,
5.67,86554,96620,
5.68,86531,96534,
5.69,86502,96493,
5.7,86496,96451,
5.71,86496,96456,
5.72,86485,96450,
5.73,86476,96438,
5.74,86486,96430,
5.75,86478,96423,
5.76,86476,96410,
5.77,86456,96402,
5.78,86464,96389,
5.79,86469,96393,
5.8,86452,96420,
5.81,86476,96433,
5.82,86491,96483,
5.83,86506,96490,
5.84,86515,96524,
5.85,86515,96549,
5.86,86537,96570,
5.87,86530,96585,
5.88,86544,96607,
5.89,86563,96634,
5.9,86565,96650,
5.91,86568,96671,
5.92,86568,96670,
5.93,86581,96686,
5.94,86564,96677,
5.95,86565,96679,
5.96,86572,96685,
5.97,86579,96713,
5.98,86580,96740,
5.99,86590,96754,
6,86618,96794,
6.01,86637,96834,
6.02,86639,96879,
6.03,86654,96914,
6.04,86666,96938,
6.05,86679,96978,
6.06,86694,97015,
6.07,86707,97037,
6.08,86721,97079,
6.09,86728,97098,
6.1,86735,97124,
6.11,86753,97155,
6.12,86767,97185,
6.13,86791,97218,
6.14,86792,97250,
6.15,86808,97289,
6.16,86822,97316,
6.17,86831,97349,
6.18,86847,97386,
6.19,86863,97408,
6.2,86855,97432,
6.21,86868,97448,
6.22,86880,97474,
6.23,86887,97502,
6.24,86901,97529,
6.25,86898,97567,
6.26,86929,97596,
6.27,86936,97626,
6.28,86936,97652,
6.29,86949,97683,
6.3,86971,97714,
6.31,86984,97731,
6.32,86993,97770,
6.33,87005,97821,
6.34,87025,97845,
6.35,87039,97888,
6.36,87050,97920,
6.37,87068,97960,
6.38,87075,97991,
6.39,87089,98019,
6.4,87092,98051,
6.41,87107,98060,
6.42,87092,98020,
6.43,87068,97938,
6.44,87037,97840,
6.45,86986,97731,
6.46,86948,97608,
6.47,86892,97473,
6.48,86848,97347,
6.49,86783,97214,
6.5,86732,97085,
6.51,86688,96964,
6.52,86648,96847,
6.53,86607,96765,
6.54,86582,96692,
6.55,86566,96654,
6.56,86544,96636,
6.57,86541,96606,
6.58,86553,96605,
6.59,86540,96605,
6.6,86555,96612,
6.61,86547,96600,
6.62,86533,96591,
6.63,86541,96593,
6.64,86534,96593,
6.65,86547,96613,
6.66,86555,96635,
6.67,86559,96655,
6.68,86573,96686,
6.69,86584,96704,
6.7,86578,96739,
6.71,86605,96760,
6.72,86606,96783,
6.73,86619,96793,
6.74,86626,96819,
6.75,86631,96815,
6.76,86624,96820,
6.77,86616,96818,
6.78,86643,96816,
6.79,86623,96831,
6.8,86625,96830,
6.81,86632,96851,
6.82,86643,96860,
6.83,86646,96872,
6.84,86651,96897,
6.85,86664,96922,
6.86,86665,96947,
6.87,86682,96980,
6.88,86700,97015,
6.89,86711,97067,
6.9,86734,97098,
6.91,86747,97147,
6.92,86755,97175,
6.93,86775,97212,
6.94,86784,97231,
6.95,86800,97271,
6.96,86818,97301,
6.97,86822,97315,
6.98,86822,97326,
6.99,86822,97342,
7,86820,97341,
7.01,86829,97358,
7.02,86833,97374,
7.03,86848,97393,
7.04,86846,97412,
7.05,86849,97435,
7.06,86870,97470,
7.07,86888,97488,
7.08,86881,97515,
7.09,86891,97537,
7.1,86913,97577,
7.11,86928,97593,
7.12,86931,97628,
7.13,86938,97653,
7.14,86955,97673,
7.15,86959,97702,
7.16,86964,97730,
7.17,86984,97749,
7.18,86983,97771,
7.19,86994,97797,
7.2,87005,97820,
7.21,87011,97833,
7.22,87019,97851,
7.23,87025,97870,
7.24,87016,97856,
7.25,87003,97816,
7.26,86984,97738,
7.27,86936,97634,
7.28,86902,97519,
7.29,86850,97397,
7.3,86802,97265,
7.31,86743,97114,
7.32,86682,96965,
7.33,86633,96829,
7.34,86573,96709,
7.35,86531,96602,
7.36,86499,96536,
7.37,86490,96491,
7.38,86483,96452,
7.39,86465,96432,
7.4,86462,96425,
7.41,86459,96405,
7.42,86447,96419,
7.43,86446,96401,
7.44,86454,96390,
7.45,86445,96390,
7.46,86451,96386,
7.47,86449,96405,
7.48,86454,96410,
7.49,86462,96442,
7.5,86478,96459,
7.51,86473,96482,
7.52,86480,96497,
7.53,86480,96506,
7.54,86488,96512,
7.55,86489,96522,
7.56,86489,96522,
7.57,86480,96521,
7.58,86495,96530,
7.59,86486,96520,
7.6,86494,96521,
7.61,86496,96537,
7.62,86491,96537,
7.63,86500,96547,
7.64,86502,96567,
7.65,86513,96588,
7.66,86520,96615,
7.67,86533,96653,
7.68,86555,96681,
7.69,86575,96729,
7.7,86593,96783,
7.71,86608,96832,
7.72,86635,96860,
